recall_id,recall_desc,VIN
R001,Airbag inflator may rupture,1HGCM82633A004521
R002,Brake hose cracking risk,2T3WFREV5FW123678
R003,Fuel pump failure possibility,3FA6P0H74DR298441
R004,Steering column joint wear,1N4AL3AP9JC204889
R005,Sliding door latch defect,5TDZZ3DC8KS987654
R006,Engine stall from sensor fault,1G1BE5SM2J7123456
R007,Rear suspension arm corrosion,2HGFB2F50FH345678
R008,Transmission software error,3GNAXJEV7JL298765
R009,Seatbelt tensioner failure,1FADP3F23HL201234
R010,ABS system malfunction,1GNSKBKC0JR234567
