review_id,ques_1,ques_2,ques_3,ques_4,ques_5,comments,plan_id
REV001,5,4,5,5,4,Excellent service and communication,PLAN001
REV002,3,3,4,2,3,Work delayed but acceptable,PLAN003
REV003,4,5,5,4,5,Very satisfied with diagnostic report,PLAN002
REV004,5,5,4,5,5,Great technicians and quick turnaround,PLAN004
REV005,2,3,2,3,2,Issue resolved but took longer than expected,PLAN005
REV006,4,4,4,4,4,Consistent quality service,PLAN006
REV007,3,4,3,4,3,Service was good overall,PLAN007
REV008,5,5,5,5,5,Outstanding paint and body work,PLAN008
REV009,4,3,4,3,4,Battery replacement was smooth,PLAN009
REV010,3,4,3,4,3,Diagnostics were thorough,PLAN010
