VIN,year,make,model,color,client_id
1HGCM82633A004521,2018,Honda,Accord,Black,C001
2T3WFREV5FW123678,2020,Toyota,RAV4,White,C003
3FA6P0H74DR298441,2017,Ford,Fusion,Silver,C002
1N4AL3AP9JC204889,2019,Nissan,Altima,Gray,C004
5TDZZ3DC8KS987654,2021,Toyota,Sienna,Blue,C005
1G1BE5SM2J7123456,2018,Chevrolet,Cruze,Red,C006
2HGFB2F50FH345678,2016,Honda,Civic,White,C007
3GNAXJEV7JL298765,2020,Chevrolet,Equinox,Black,C008
1FADP3F23HL201234,2017,Ford,Focus,Blue,C009
1GNSKBKC0JR234567,2019,Chevrolet,Tahoe,Silver,C010
